"acta_numero","fecha_de_creacion","numero_de_acta","guia_aerea","dosis_recibidas","hipervinculo",""
"ACTA-2021-42723573-APN-SGA#MS","2021-05-13","ACTA 2021_0724","044-44033183","500000","https://www.argentina.gob.ar/sites/default/files/acta-2021-42723573-apn-sga-ms.pdf",""
"ACTA-2021-43226831-APN-SGA#MS","2021-05-14","ACTA 2021_0728","044-44033021","100","https://www.argentina.gob.ar/sites/default/files/acta-2021-43226831-apn-sga-ms.pdf",""
"ACTA-2021-44037924-APN-SGA#MS","2021-05-18","ACTA 2021_0741","044-44033161","500000","https://www.argentina.gob.ar/sites/default/files/acta-2021-44037924-apn-sga-ms.pdf",""
"ACTA-2021-46392469-APN-SGA#MS","2021-05-23","ACTA 2021_0776","AMS-10478086","204000","https://www.argentina.gob.ar/sites/default/files/acta-2021-46392469-apn-sga-ms.pdf",""
"ACTA-2021-46638345-APN-SGA#MS","2021-05-25","ACTA 2021_0778","044-44033194","609965","https://www.argentina.gob.ar/sites/default/files/acta-2021-46638345-apn-sga-ms.pdf",""
"ACTA-2021-46638242-APN-SGA#MS","2021-05-25","ACTA 2021_0777","R539077 / R539129","843600","https://www.argentina.gob.ar/sites/default/files/acta-2021-46638242-apn-sga-ms.pdf",""
"ACTA-2021-47119616-APN-SGA#MS","2021-05-26","ACTA 2021_0801","AMS-10478554","657600","https://www.argentina.gob.ar/sites/default/files/acta-2021-47119616-apn-sga-ms.pdf",""
"ACTA-2021-47577087-APN-SGA#MS","2021-05-27","ACTA 2021_0813","044-44033205 / 044-44033216","470035","https://www.argentina.gob.ar/sites/default/files/acta-2021-47577087-apn-sga-ms.pdf",""
"ACTA-2021-48653785-APN-SGA#MS","2021-05-31","ACTA 2021_0840","R590626 / R592295","2148600","https://www.argentina.gob.ar/sites/default/files/acta-2021-48653785-apn-sga-ms.pdf",""
"ACTA-2021-50399071-APN-SGA#MS","2021-06-04","ACTA 2021_0885","044-44033220","343915","https://www.argentina.gob.ar/sites/default/files/acta-2021-50399071-apn-sga-ms.pdf",""
"ACTA-2021-51291968-APN-SGA#MS","2021-06-07","ACTA 2021_888","044-44033220","474300","https://www.argentina.gob.ar/sites/default/files/acta-2021-51291968-apn-sga-ms.pdf",""
"ACTA-2021-51842700-APN-SGA#MS","2021-06-09","ACTA 2021_0914","044-44033231","481850","https://www.argentina.gob.ar/sites/default/files/acta-2021-51842700-apn-sga-ms.pdf",""
"ACTA-2021-53655805-APN-SGA#MS","2021-06-15","ACTA 2021_0935","R696739","934200","https://www.argentina.gob.ar/sites/default/files/acta-2021-53655805-apn-sga-ms.pdf",""
"ACTA-2021-55784594-APN-SGA#MS","2021-06-22","ACTA 2021_1000","BJS00035490","768000","https://www.argentina.gob.ar/sites/default/files/acta-2021-55784594-apn-sga-ms.pdf",""
"ACTA-2021-55784768-APN-SGA#MS","2021-06-22","ACTA 2021_1001","R750796 ","1139000","https://www.argentina.gob.ar/sites/default/files/acta-2021-55784768-apn-sga-ms.pdf",""
"ACTA-2021-56254673-APN-SGA#MS","2021-06-23","ACTA 2021_1006","BJS00035512 ","464000","https://www.argentina.gob.ar/sites/default/files/acta-2021-56254673-apn-sga-ms.pdf",""
"ACTA-2021-56254152-APN-SGA#MS","2021-06-23","ACTA 2021_1004","BJS00035501","768,000","https://www.argentina.gob.ar/sites/default/files/acta-2021-56254152-apn-sga-ms.pdf",""
"ACTA-2021-57199017-APN-SGA#MS","2021-06-26","ACTA 2021_1027","R781910","1181500","https://www.argentina.gob.ar/sites/default/files/acta-2021-57199017-apn-sga-ms.pdf",""
"RESOL-2021-1702-APN-MS","2021-06-11","RESOL_2021_1702","","811000","https://www.argentina.gob.ar/sites/default/files/rs-2021-52759135-apn-ms.pdf",""
"ACTA-2021-58740311-APN-SGA#MS","2021-07-01","ACTA 2021_1053","044-44033286 ","709085","https://www.argentina.gob.ar/sites/default/files/acta-2021-58740311-apn-sga-ms.pdf",""
"ACTA-2021-59568482-APN-SGA#MS","2021-07-04","ACTA 2021_1075","044-44033290","1135395","https://www.argentina.gob.ar/sites/default/files/acta-2021-59568482-apn-sga-ms.pdf",""
"ACTA-2021-60058289-APN-SGA#MS","2021-07-05","ACTA 2021_1101","BJS00035615 ","768000","https://www.argentina.gob.ar/sites/default/files/acta-2021-60058289-apn-sga-ms.pdf",""
"ACTA-2021-60505149-APN-SGA#MS","2021-07-06","ACTA 2021_1106","044-44033290 ","5400","https://www.argentina.gob.ar/sites/default/files/acta-2021-60505149-apn-sga-ms.pdf",""
"ACTA-2021-61437142-APN-SGA#MS","2021-07-09","ACTA 2021_1134","057-97056934","52995","https://www.argentina.gob.ar/sites/default/files/acta-2021-61437142-apn-sga-ms.pdf",""
"ACTA-2021-61511140-APN-SGA#MS","2021-07-10","ACTA 2021_1135","BJS00035626","768000","https://www.argentina.gob.ar/sites/default/files/acta-2021-61511140-apn-sga-ms.pdf",""
"ACTA-2021-62545071-APN-SGA#MS","2021-07-13","ACTA 2021_1148","BJS00035630","768000","https://www.argentina.gob.ar/sites/default/files/acta-2021-62545071-apn-sga-ms.pdf",""
"ACTA-2021-62666311-APN-SGA#MS","2021-07-13","ACTA 2021_1149","044-44033415 ","550000","https://www.argentina.gob.ar/sites/default/files/acta-2021-62666311-apn-sga-ms.pdf",""
